id,rating,title,text,date,platform
251,1,"Review","If Groww cannot execute orders at the correct price and repeatedly hits the wrong target； how are traders supposed to trust the platform for professional trading in Nifty 50 F&O? These technical issues can lead to serious financial losses i Will delete my grow account now",2026-04-20,Android
252,5,"Review","nice 👍",2026-04-20,Android
253,5,"Review","super",2026-04-20,Android
254,5,"Review","easy to use",2026-04-20,Android
255,5,"Review","good",2026-04-20,Android
256,4,"Review","easy to access； good response； quick transfer",2026-04-20,Android
257,5,"Review","OUTSTANDING performance",2026-04-20,Android
258,5,"Review","best",2026-04-20,Android
259,5,"Review","best",2026-04-20,Android
260,5,"Review","really good app",2026-04-20,Android
261,5,"Review","good",2026-04-20,Android
262,1,"Review","Black list Company Not Remove on Groww app(Bharat Global Developers )",2026-04-20,Android
263,5,"Review","good",2026-04-20,Android
264,5,"Review","all good",2026-04-20,Android
265,5,"Review","good",2026-04-20,Android
266,1,"Review","I requested a callback from groww customer support and it have been more than 30 minutes but there is no callback from groww customer support I have also called on 9108800000 but it is showing that the server is unreachable very poor customer support from groww",2026-04-20,Android
267,4,"Review","good",2026-04-20,Android
268,5,"Review","good app's",2026-04-20,Android
269,5,"Review","gud",2026-04-20,Android
270,5,"Review","good platform",2026-04-20,Android
271,5,"Review","good",2026-04-20,Android
272,5,"Review","👍💯",2026-04-20,Android
273,5,"Review","good broker 😃",2026-04-20,Android
274,5,"Review","excellent",2026-04-20,Android
275,5,"Review","good & real aap",2026-04-20,Android
276,3,"Review","unable to delete my account",2026-04-20,Android
277,5,"Review","good platform for investing",2026-04-20,Android
278,4,"Review","achha hai",2026-04-20,Android
279,5,"Review","this is the great platform for the investing and also great for the bestest and trusted app this is you can earn more and more great",2026-04-20,Android
280,5,"Review","this is really nice app and very good working",2026-04-20,Android
281,5,"Review","good",2026-04-20,Android
282,5,"Review","good and easy used",2026-04-20,Android
283,4,"Review","not bad",2026-04-20,Android
284,5,"Review","v good",2026-04-20,Android
285,5,"Review","good app",2026-04-20,Android
286,3,"Review","good",2026-04-20,Android
287,5,"Review","reliable for 7years.",2026-04-20,Android
288,5,"Review","Nice platform to grow wealth.",2026-04-20,Android
289,5,"Review","good app",2026-04-20,Android
290,3,"Review","Good for Investment",2026-04-20,Android
291,5,"Review","good",2026-04-20,Android
292,4,"Review","good",2026-04-20,Android
293,5,"Review","tarik ki majboori nhi samjhte ye log.",2026-04-20,Android
294,1,"Review","nice",2026-04-20,Android
295,5,"Review","ok 👌",2026-04-20,Android
296,5,"Review","super 👍",2026-04-20,Android
297,5,"Review","nice",2026-04-20,Android
298,5,"Review","awesome 😎😎😎",2026-04-20,Android
299,5,"Review","nice application",2026-04-20,Android
300,5,"Review","good",2026-04-20,Android
301,5,"Review","good 👍",2026-04-20,Android
302,4,"Review","It's good for investment",2026-04-20,Android
303,5,"Review","very good 👍",2026-04-20,Android
304,5,"Review","very good 👍👍 treding aap",2026-04-20,Android
305,5,"Review","good app to start stock market and mutual funds for beginners",2026-04-20,Android
306,4,"Review","good working app",2026-04-20,Android
307,5,"Review","aap bahut hi achcha Laga",2026-04-20,Android
